,level_0,Objet,Model,Attaque,Intensité,Score,Difference absolue,MSE,Coef de corrélation,SSIM
302,1208,gondola,ResNet152V2,PGD,0.06,-1,113.76987005739795,30.376733896683675,0.24547867312987715,0.4155315856870791
303,1212,gondola,ResNet152V2,PGD,0.0,-1,141.10704320790816,22.304209183673468,0.41361385442779064,0.44230337987424956
304,1216,gondola,ResNet152V2,PGD,0.1,-1,158.02580915178572,19.550502232142858,0.2689160723166256,0.30759796127936434
305,1220,gondola,ResNet152V2,PGD,0.3,-1,134.31901705994898,27.07485650510204,0.18099585808206314,0.3307043842221718
306,1224,gondola,ResNet152V2,PGD,0.6,-1,153.27254065688774,21.994021045918366,0.13638833352646906,0.2847346612395885
307,1228,gondola,ResNet152V2,PGD,1.0,-1,145.70495854591837,22.773377710459183,0.23337242674621145,0.30877161977471124
308,1232,gondola,VGG16,FGSM,0.001,-1,45.39893574617347,87.53095105229592,0.07455786875188553,0.10394630208714925
309,1236,gondola,VGG16,FGSM,0.003,-1,45.3786471619898,87.55040258290816,0.07462727565495342,0.10395876824071254
310,1240,gondola,VGG16,FGSM,0.006,-1,45.370196906887756,87.5557637117347,0.07444079400041709,0.10390032317417669
311,1244,gondola,VGG16,FGSM,0.01,-1,45.30994897959184,87.54490194515306,0.07446383472660037,0.10391795916876767
312,1248,gondola,VGG16,FGSM,0.03,-1,45.373046875,87.64445153061224,0.07471440945191835,0.10408386754282123
313,1252,gondola,VGG16,FGSM,0.06,-1,45.411112882653065,87.42133689413265,0.07458310468071837,0.10412702095656383
314,1256,gondola,VGG16,FGSM,0.0,-1,45.35736208545919,87.5180963010204,0.0745192221894001,0.1038479229614067
315,1260,gondola,VGG16,FGSM,0.1,-1,45.297094228316325,87.77515146683673,0.07447171207867305,0.10381030186601803
316,1264,gondola,VGG16,FGSM,0.3,-1,45.421456473214285,87.65704719387755,0.07333938625208791,0.10421003661989056
317,1268,gondola,VGG16,FGSM,0.6,-1,45.620037468112244,87.38157684948979,0.07378651340683272,0.10433157879816757
318,1272,gondola,VGG16,FGSM,1.0,-1,49.99310427295919,84.69003109056122,0.07243767025097031,0.10986156371882928
319,1276,gondola,VGG16,PGD,0.001,-1,88.64233896683673,59.620735012755105,0.21580924012042021,0.25623980745086394
320,1280,gondola,VGG16,PGD,0.003,-1,90.84460698341837,58.4001315369898,0.21869995091064032,0.25848416509158706
321,1284,gondola,VGG16,PGD,0.006,-1,109.91187021683673,49.63426737882653,0.21897435792886644,0.25957497499884674
322,1288,gondola,VGG16,PGD,0.01,-1,125.51606345663265,41.71133609693877,0.2120646191055811,0.23922376752204633
323,1292,gondola,VGG16,PGD,0.03,-1,104.00255102040816,53.57601243622449,0.11338988288057292,0.20435864273945278
324,1296,gondola,VGG16,PGD,0.06,-1,62.552754304846935,76.18560666454081,0.027853620996592658,0.16787590595497523
325,1300,gondola,VGG16,PGD,0.0,-1,70.5376275510204,69.16374362244898,0.2161806242790067,0.24215250916203374
326,1304,gondola,VGG16,PGD,0.1,-1,85.13339046556122,63.86674904336735,0.007538966064031679,0.1643967339404004
327,1308,gondola,VGG16,PGD,0.3,-1,95.82380022321429,58.09574298469388,0.05494531656049529,0.1481131290590608
328,1312,gondola,VGG16,PGD,0.6,-1,76.01430963010205,67.71615911989795,0.04274847054826884,0.1559075362891561
